"Marca temporal","¿Género? (M- Masculino F- Femenino)","¿Cuántos años tienes? Escribe sólo el número","¿En qué estado te encuentras?","¿Cuánto gastas personalmente en una ida al cine? (Escribe sólo el número)","¿Qué tipo de celular tienes?","Respecto al tema de covid...","¿Con qué sistema operativo trabaja tu compu?","¿Cuántos hermanos son en tu familia? Si eres hijo único, elige 1","¿Cuánto mides en mts?","¿Cuántos hermanos fueron en la familia de tu mamá?","¿A qué hora tomas tu primer alimento del día?","Escribe el nombre de un país que te gustaria visitar y que aún no conoces"
"2022/03/18 11:33:19 a. m. GMT-6","Masculino","20","Puebla","250","Android","Ya te enfermaste y vacunaste","Windows","2","1.73","6","10:00","España "
"2022/03/18 2:36:36 p. m. GMT-6","Femenino","25","Puebla","150 ","Android","Ya te enfermaste y vacunaste","Windows","2","1.65","6","11:00","Italia"
"2022/03/18 2:58:35 p. m. GMT-6","Femenino","59","Puebla","01 ","Ios","Ya te enfermaste y vacunaste","Windows","5 o más","1.63 ","7","09:00","España"
"2022/03/23 2:35:34 p. m. GMT-6","Masculino","21","Tlaxcala","350","Android","Ya te vacunaste","Mac","1","1.72","8","10:00","Islandia"
"2022/03/23 3:10:52 p. m. GMT-6","Femenino","22","Puebla","200","Ios","Ya te enfermaste y vacunaste","Mac","2","1.7","6","09:30","Italia"
"2022/03/23 3:11:13 p. m. GMT-6","Femenino","19","Puebla","500","Ios","Ya te enfermaste y vacunaste","Mac","4","1.62","4","07:00","Japón "
"2022/03/23 3:11:48 p. m. GMT-6","Masculino","24","Puebla","300","Ios","Ya te enfermaste y vacunaste","Mac","4","1.76","6","09:00","Alemania"
"2022/03/23 3:11:59 p. m. GMT-6","Femenino","22","Puebla ","100","Ios","Ya te enfermaste y vacunaste","Mac","2","1.67","5","11:00","India "
"2022/03/23 3:12:15 p. m. GMT-6","Femenino","20","Puebla","300","Ios","Ya te vacunaste","Windows","3","1.70","5","09:00","Sudáfrica "
"2022/03/23 3:12:53 p. m. GMT-6","Masculino","22","pue","2","Ambos","Ni te has enfermado ni te has vacunado","Otro","5 o más","1.70","4","03:00","Tlaxcala"
"2022/03/23 3:13:41 p. m. GMT-6","Femenino","21","Puebla","350","Android","Ya te enfermaste y vacunaste","Windows","2","1.50","12","09:30","Alemania"
"2022/03/23 3:14:10 p. m. GMT-6","Femenino","20","Puebla","250","Ios","Ya te vacunaste","Mac","2","1.60","3","09:00","Alemania"
"2022/03/23 3:15:11 p. m. GMT-6","Masculino","22","Soltero","50","Ios","Ya te vacunaste","Mac","5 o más","1.76","5","13:00","Francia"
"2022/03/23 3:15:49 p. m. GMT-6","Masculino","29","Puebla","500","Ios","Ya te vacunaste","Mac","2","1.70","12","09:00","Japón"
"2022/03/23 3:16:14 p. m. GMT-6","Femenino","22","Guanajuato ","150","Android","Ya te enfermaste y vacunaste","Windows","3","1.53","8","09:00","Noruega"
"2022/03/23 3:17:29 p. m. GMT-6","Masculino","18","Nuevo León","200","Ios","Ya te enfermaste y vacunaste","Windows","3","1.75","4","09:00","Alemania"
"2022/03/23 3:18:40 p. m. GMT-6","Femenino","23","Puebla","200","Ios","Ya te enfermaste y vacunaste","Mac","1","1.5","8","07:00","India"
"2022/03/23 3:19:18 p. m. GMT-6","Masculino","22","Puebla","150","Ios","Ya te vacunaste","Windows","2","1.73","6","10:00","Islandia "
"2022/03/23 3:22:14 p. m. GMT-6","Femenino","20","Puebla","200","Ios","Ya te enfermaste y vacunaste","Mac","3","1.65","1","11:00","Italia"
"2022/03/23 3:22:34 p. m. GMT-6","Femenino","21","Puebla ","150","Android","Ya te enfermaste y vacunaste","Windows","4","1.62","7","08:00","Suiza"
"2022/03/23 3:25:17 p. m. GMT-6","Femenino","21","Nuevo León","250","Ios","Ya te vacunaste","Mac","2","1.63","6","09:00","Australia"
"2022/03/23 3:27:24 p. m. GMT-6","Femenino","17","No entiendo la pregunta","200","Android","Ya te enfermaste y vacunaste","Windows","2","1.6","5","06:30","Gran Bretaña "
"2022/03/23 3:27:42 p. m. GMT-6","Masculino","21","Haifa","180","Ios","Ya te enfermaste y vacunaste","Windows","3","1.70","3","08:00","Egipto"
"2022/03/23 3:33:41 p. m. GMT-6","Masculino","21","Nuevo León","111","Android","Ya te vacunaste","Windows","2","1.68","3","07:50","Japón"
"2022/03/23 3:40:10 p. m. GMT-6","Femenino","20 años ","puebla ","500","Ios","Ya te vacunaste","Mac","2","1.62","1","11:00","new york "
"2022/03/23 3:50:29 p. m. GMT-6","Femenino","48","Tabasco","500","Android","Ya te enfermaste y vacunaste","Windows","5 o más","1.47","0","07:00","Italia"
"2022/03/23 3:55:46 p. m. GMT-6","Femenino","32","chiapas","1000","Android","Ya te enfermaste y vacunaste","Windows","4","1.54","2","07:00","Afganistan"
"2022/03/23 4:04:51 p. m. GMT-6","Femenino","49","Tabasco","300","Android","Ya te vacunaste","Windows","4","1.55","6","08:00","Colombia"
"2022/03/23 4:06:57 p. m. GMT-6","Femenino","37","Tabasco ","300","Ambos","Ya te enfermaste y vacunaste","Windows","3","1.65","6","09:00","Grecia"
"2022/03/23 4:10:47 p. m. GMT-6","Masculino","60","07","350","Android","Ya te vacunaste","Windows","5 o más","1.5","1","08:00","El país Vasco"
"2022/03/23 4:14:37 p. m. GMT-6","Femenino","48","Chiapas","1","Android","Ya te enfermaste y vacunaste","Windows","4","1.485","5","10:00","Corea del Sur"
"2022/03/23 4:15:11 p. m. GMT-6","Femenino","20","Aguascalientes","70","Ios","Ya te vacunaste","Windows","2","1.75","4","10:00","Canadá"
"2022/03/23 4:25:54 p. m. GMT-6","Femenino","20","Puebla ","300","Ios","Ya te vacunaste","Mac","2","1.62","9","12:00","EEUU"
"2022/03/23 4:34:49 p. m. GMT-6","Femenino","33","Chiapas","600","Android","Ya te vacunaste","Windows","4","1.2","7","07:00","Costa rica"
"2022/03/23 4:40:02 p. m. GMT-6","Femenino","58","Chiapas","1","Android","Ya te vacunaste","Windows","5 o más","1.48","Hija única","07:00","Italia"
"2022/03/23 4:48:55 p. m. GMT-6","Femenino","55","Chiapas ","500","Android","Ya te vacunaste","Windows","5 o más","2.0","2","08:00","Roma"
"2022/03/23 4:50:55 p. m. GMT-6","Femenino","21","Puebla","100","Ios","Ya te vacunaste","Mac","2","1.60","4","09:00","China"
"2022/03/23 4:56:00 p. m. GMT-6","Femenino","44","Tabasco","200","Android","Ya te enfermaste y vacunaste","Windows","4","1.56","8","08:00","Francia"
"2022/03/23 5:19:16 p. m. GMT-6","Femenino","20","Puebla","450","Ios","Ya te enfermaste y vacunaste","Windows","1","1.64","3","08:00","Italia"
"2022/03/23 5:28:07 p. m. GMT-6","Masculino","48","Tabasco","200","Android","Ya te enfermaste y vacunaste","Windows","1","1.70","5","08:00","Escocia"
"2022/03/23 6:04:39 p. m. GMT-6","Femenino","47","Chiapas","800","Android","Ya te enfermaste y vacunaste","Windows","3","1.64","4","07:00","Francia "
"2022/03/23 6:06:49 p. m. GMT-6","Femenino","42","Tabasco ","600","Ios","Ya te enfermaste y vacunaste","Mac","1","1.55","2","07:00","Francia "
"2022/03/23 7:01:46 p. m. GMT-6","Masculino","23","Soltero","180","Android","Ya te vacunaste","Windows","2","1.83","3","10:00","Alemania"
"2022/03/23 9:29:19 p. m. GMT-6","Masculino","36","Chiapas","100","Android","Ya te enfermaste y vacunaste","Windows","2","1.73","12","07:30","Costa rica"
"2022/03/24 3:21:29 p. m. GMT-6","Femenino","51","Puebla","200","Android","Ya te enfermaste y vacunaste","Windows","4","1.62","14","09:00","Estados Unidos"